TRB044	24.4633	121.801	018	5	24.43635	121.909666667	24.15	6.24	0.0	0.0	11.42	81.06	123.76	117.54	73.0	01821900.CVA	CVA	2.01908072126e+13	285.0
ILA062	24.465	121.8008	506	5	24.43635	121.909666667	24.15	6.24	759.04	11.0	11.52	86.74	151.7	134.9	221.8	50621900.MNS	NANO	2.01908072127e+13	287.0
ILA061	24.52	121.8328	298	5	24.43635	121.909666667	24.15	6.24	502.05	82.0	12.23	105.48	140.7	150.58	120.0	C9821900.SMT	SMTA	2.01908072127e+13	320.0
ILA075	24.445	121.7783	340	5	24.43635	121.909666667	24.15	6.24	0.0	0.0	13.35	90.54	170.72	204.28	120.0	D4021901.SMT	SMTA	2.01908072127e+13	274.0
ILA065	24.47	121.7777	491	5	24.43635	121.909666667	24.15	6.24	566.4118	13.0	13.91	103.02	143.44	139.44	120.0	E9121900.SMT	SMTA	2.01908072127e+13	286.0
ILA050	24.425	121.749	634	5	24.43635	121.909666667	24.15	6.24	626.57	36.0	16.33	50.9	169.4	156.0	65.0	63414300.EVT	K2	2.01908072127e+13	266.0
ILA007	24.5917	121.8535	064	5	24.43635	121.909666667	24.15	6.24	432.3545	58.0	18.21	102.18	231.22	200.82	75.0	06421900.CVA	CVA	2.01908072128e+13	342.0
ILA068	24.5967	121.8573	306	5	24.43635	121.909666667	24.15	6.24	617.22	340.0	18.59	92.0	149.44	175.62	180.0	D0621900.SMT	SMTA	2.01908072127e+13	343.0
MND014	24.6017	121.8723	059	5	24.43635	121.909666667	24.15	6.24	0.0	0.0	18.79	84.16	141.54	147.06	62.0	05921900.CVA	CVA	2.01908072127e+13	348.0
ILA031	24.5967	121.8407	085	6	24.43635	121.909666667	24.15	6.24	657.3902	22.5	19.14	88.46	257.36	241.7	67.0	08521900.CVA	CVA	2.01908072128e+13	339.0
ILA052	24.6067	121.86	498	5	24.43635	121.909666667	24.15	6.24	481.68	233.0	19.69	135.56	241.98	170.34	120.0	E9821900.SMT	SMTA	2.01908072127e+13	345.0
MTN131	24.59	121.8108	061	6	24.43635	121.909666667	24.15	6.24	0.0	0.0	19.84	108.16	338.32	294.22	80.0	T061001.356	A900	2.01908072127e+13	330.0
TRB041	24.6033	121.8325	020	5	24.43635	121.909666667	24.15	6.24	0.0	0.0	20.12	85.16	228.3	165.34	80.0	02021900.CVA	CVA	2.01908072128e+13	337.0
ILA053	24.3283	121.7393	280	4	24.43635	121.909666667	24.15	6.24	534.6641	43.0	20.95	24.6	32.58	29.44	120.0	C8021900.SMT	SMTA	2.01908072127e+13	236.0
HWA045	24.3083	121.7495	309	4	24.43635	121.909666667	24.15	6.24	472.77598298	179.0	21.52	36.78	54.74	62.4	120.0	D0921900.SMT	SMTA	2.01908072127e+13	229.0
ILA032	24.6217	121.8347	420	5	24.43635	121.909666667	24.15	6.24	296.5159	219.0	21.92	61.56	140.58	84.32	215.1	42021900.MNS	NANO	2.01908072127e+13	340.0
TRB043	24.2967	121.7532	022	4	24.43635	121.909666667	24.15	6.24	0.0	0.0	22.17	31.4	21.06	32.3	65.0	02221900.CVA	CVA	2.01908072124e+13	226.0
ILA071	24.6217	121.7942	091	5	24.43635	121.909666667	24.15	6.24	532.252360474	64.9931	23.63	53.42	103.4	47.34	67.0	09121900.CVA	CVA	2.01908072128e+13	330.0
ILA006	24.6383	121.8327	062	5	24.43635	121.909666667	24.15	6.24	276.3703	276.3539	23.83	37.82	127.82	107.76	84.0	06221900.CVA	CVA	2.01908072128e+13	341.0
ILA047	24.6433	121.7942	470	5	24.43635	121.909666667	24.15	6.24	260.129957407	396.0	25.79	42.42	98.86	97.76	240.0	O7021900.SMT	SMTA	2.01908072127e+13	333.0
ILA059	24.665	121.8297	341	5	24.43635	121.909666667	24.15	6.24	232.2417	398.0	26.65	40.04	161.04	125.7	180.0	D4121900.SMT	SMTA	2.01908072127e+13	342.0
ILA043	24.6267	121.7437	084	5	24.43635	121.909666667	24.15	6.24	518.37352611	62.0	26.97	68.66	86.04	81.38	69.0	08421900.CVA	CVA	2.01908072128e+13	321.0
ILA044	24.6533	121.7625	092	5	24.43635	121.909666667	24.15	6.24	159.0	310.0	28.3	47.16	82.3	40.22	91.0	09221900.CVA	CVA	2.01908072128e+13	328.0
ILA076	24.6333	121.7168	521	5	24.43635	121.909666667	24.15	6.24	0.0	0.0	29.34	57.38	108.28	55.92	120.0	F2121900.SMT	SMTA	2.01908072127e+13	318.0
ILA026	24.6733	121.7728	530	5	24.43635	121.909666667	24.15	6.24	237.5022	440.0	29.69	49.86	120.24	123.8	244.4	53021900.MNS	NANO	2.01908072127e+13	332.0
ILA042	24.6867	121.7987	509	5	24.43635	121.909666667	24.15	6.24	213.1817	610.0	30.01	41.78	95.24	65.54	242.8	50921900.MNS	NANO	2.01908072127e+13	338.0
ILA005	24.6967	121.8127	061	5	24.43635	121.909666667	24.15	6.24	237.2093	635.0	30.48	42.74	117.34	112.96	85.0	06121900.CVA	CVA	2.01908072128e+13	341.0
ILA046	24.665	121.7423	531	5	24.43635	121.909666667	24.15	6.24	397.59	300.0	30.48	53.02	85.6	101.04	213.2	53121900.MNS	NANO	2.01908072127e+13	326.0
MTN128	24.51	121.6113	126	4	24.43635	121.909666667	24.15	6.24	0.0	0.0	31.33	23.1	58.7	44.68	206.9	12621900.MNS	NANO	2.01908072127e+13	285.0
ILA027	24.6883	121.7667	298	5	24.43635	121.909666667	24.15	6.24	267.472858886	625.0	31.51	59.72	163.96	133.84	240.0	M9821900.SMT	SMTA	2.01908072127e+13	333.0
ILA072	24.7	121.7717	508	5	24.43635	121.909666667	24.15	6.24	0.0	0.0	32.38	36.4	135.04	94.64	238.8	50821900.MNS	NANO	2.01908072127e+13	334.0
ILA008	24.7067	121.7707	081	5	24.43635	121.909666667	24.15	6.24	290.6977	649.0	33.14	64.54	109.48	90.66	93.0	08121900.CVA	CVA	2.01908072128e+13	335.0
ILA041	24.7217	121.8003	145	5	24.43635	121.909666667	24.15	6.24	194.179	758.7	33.52	58.28	115.06	150.14	102.0	14521900.CVA	CVA	2.01908072128e+13	341.0
