HWA027	24.0533	121.5985	396	6	4.0	143.3	226.06	382.08	223.5	39610800.MNS	NANO	20190418050011.0	91.0
MND025	24.0267	121.5888	575	5	4.21	124.9	167.74	225.64	81.0	T575001.108	A900	20190418050020.0	134.0
HWA048	24.0083	121.5805	121	5	5.42	89.62	142.18	142.08	88.0	12110800.CVA	CVA	20190418045941.0	156.0
HWA023	24.08	121.6045	488	5	5.48	91.32	169.02	111.18	120.0	E8810800.SMT	SMTA	20190418050000.0	57.0
HWA028	24.0133	121.6095	335	6	6.77	125.08	264.34	121.82	238.4	33510800.MNS	NANO	20190418050011.0	131.0
HWA049	23.9917	121.5645	373	7	6.8	188.68	419.84	289.84	240.0	N7310800.SMT	SMTA	20190418050000.0	175.0
HWA011	23.995	121.5948	131	5	7.47	136.58	197.14	126.98	94.0	13110800.CVA	CVA	20190418045956.0	151.0
TRB042	24.0	121.6038	025	5	7.51	72.42	139.42	117.4	102.0	02510800.CVA	CVA	20190418050036.0	143.0
MND006	24.015	121.62299999999999	497	5	7.74	112.32	202.24	68.2	69.0	T497001.108	A900	20190418050050.0	123.0
HWA050	23.9867	121.5908	118	6	8.04	199.74	254.6	248.14	87.0	11810800.CVA	CVA	20190418045825.0	156.0
HWA008	23.9867	121.603	122	5	8.66	81.06	148.34	95.04	106.0	12210800.CVA	CVA	20190418050043.0	149.0
HWA015	23.9717	121.5627	467	6	9.03	192.26	345.18	295.02	229.6	46710800.MNS	NANO	20190418050011.0	178.0
HWA010	23.9783	121.6027	135	5	9.51	128.04	238.02	92.8	92.0	13510800.CVA	CVA	20190418045843.0	152.0
HWA013	23.975	121.5985	374	5	9.6	110.02	221.98	125.56	300.0	N7410800.SMT	SMTA	20190418050000.0	155.0
HWA026	24.1167	121.6245	390	5	9.7	137.16	144.46	232.26	223.5	39010800.MNS	NANO	20190418050011.0	43.0
HWA012	23.9917	121.6313	354	5	10.08	71.04	97.62	52.48	240.0	N5410800.SMT	SMTA	20190418050000.0	133.0
HWA016	23.9617	121.5685	127	6	10.14	161.42	303.06	293.3	74.0	12710800.CVA	CVA	20190418050017.0	175.0
HWA007	23.985	121.6262	125	5	10.14	94.94	83.78	71.96	88.0	12510800.CVA	CVA	20190418045954.0	138.0
MND016	23.9767	121.6158	060	5	10.29	120.38	122.76	90.12	90.0	06010800.CVA	CVA	20190418050133.0	146.0
HWA062	23.9783	121.6198	675	5	10.32	96.08	139.28	89.74	180.0	G7510800.SMT	SMTA	20190418050000.0	143.0
HWA014	23.97	121.6057	136	5	10.35	75.2	109.9	134.18	101.0	13610800.CVA	CVA	20190418045959.0	153.0
HWA019	23.975	121.6135	201	6	10.38	104.54	251.9	236.52	239.7	20110800.MNS	NANO	20190418050012.0	148.0
HWA017	23.9467	121.54700000000001	134	6	11.82	197.16	309.42	321.52	71.0	13410800.CVA	CVA	20190418050043.0	186.0
HWA058	23.965	121.4928	532	7	11.9	286.36	549.64	378.68	120.0	F3210800.SMT	SMTA	20190418050000.0	215.0
HWA047	24.125	121.6548	366	5	12.52	232.08	0.0	162.52	240.0	N6610800.SMT	SMTA	20190418050000.0	51.0
HWA046	24.1467	121.6292	380	5	12.57	126.62	144.78	147.72	214.3	38010800.MNS	NANO	20190418050012.0	34.0
HWA069	24.1717	121.5713	375	6	13.05	218.8	258.9	299.9	240.0	N7510800.SMT	SMTA	20190418050000.0	5.0
HWA057	24.1583	121.62299999999999	320	6	13.25	133.28	364.5	193.24	180.0	D2010800.SMT	SMTA	20190418050000.0	29.0
HWA029	23.935	121.5777	388	5	13.31	90.1	136.8	174.48	234.3	38810800.MNS	NANO	20190418050012.0	172.0
MTN163	24.0067	121.42399999999999	046	5	14.73	76.94	104.52	62.36	84.0	T046001.108	A900	20190418050047.0	249.0
HWA025	24.1617	121.6522	176	5	15.19	131.96	134.06	117.74	222.7	17610800.MNS	NANO	20190418050012.0	38.0
MTN164	24.0067	121.416	158	4	15.45	30.66	42.62	43.3	76.0	T158001.108	A900	20190418050037.0	251.0
